id,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
77,2015020079,8473499,21,3555,0,0,0,40,38,2,0,36,0,38,2,L,95,100,94.73684211
78,2015020079,8471734,26,3589,0,0,0,23,22,6,1,15,1,15,7,W,95.65217391,85.71428571,100
79,2017020214,8473541,21,3600,0,0,0,28,22,0,1,21,1,25,2,L,78.57142857,0,84
80,2017020214,8471306,2,3600,0,0,0,35,31,6,0,25,0,29,6,W,88.57142857,100,86.20689655
81,2016020683,8475717,21,3539,0,0,0,36,34,10,0,24,0,25,11,L,94.44444444,90.90909091,96
82,2016020683,8476434,24,3600,0,0,0,22,21,3,0,18,0,18,4,W,95.45454545,75,100
83,2017020285,8475831,15,3591,0,0,0,28,22,6,2,14,2,18,8,L,78.57142857,75,77.77777778
84,2017020285,8473575,21,3600,0,0,0,30,28,8,0,20,0,21,9,W,93.33333333,88.88888889,95.23809524
85,2017020423,8474152,12,3595,0,0,0,22,19,0,0,19,0,21,1,L,86.36363636,0,90.47619048
86,2017020423,8474593,23,3600,0,0,0,30,30,2,0,28,0,28,2,W,100,100,100
87,2015020516,8474889,28,3600,0,0,0,36,33,6,0,27,0,30,6,W,91.66666667,100,90
88,2015020516,8471734,26,3573,0,0,0,22,18,1,0,17,0,19,3,L,81.81818182,33.33333333,89.47368421
89,2017020930,8470860,2,3900,0,0,0,31,28,5,0,23,0,26,5,L,90.32258065,100,88.46153846
90,2017020930,8475883,10,3895,0,0,0,35,32,1,1,30,1,33,1,W,91.42857143,100,90.90909091
91,2017020301,8471774,30,3503,0,0,0,43,40,7,0,33,0,34,9,L,93.02325581,77.77777778,97.05882353
92,2017020301,8474651,15,3597,0,0,0,31,30,5,2,23,2,23,6,W,96.77419355,83.33333333,100
93,2015021029,8475831,15,3499,0,0,0,27,23,1,1,21,2,23,2,L,85.18518519,50,91.30434783
94,2015021029,8474889,28,3598,0,0,0,25,23,2,2,19,2,20,3,W,92,66.66666667,95
95,2016020884,8476899,5,3600,0,0,0,30,29,6,3,20,3,20,7,W,96.66666667,85.71428571,100
96,2016020884,8470320,12,3515,0,0,0,22,19,1,0,18,0,20,2,L,86.36363636,50,90
97,2017021066,8479292,8,3600,0,0,0,25,20,0,0,20,0,23,2,L,80,0,86.95652174
98,2017021066,8475683,29,3600,0,0,0,40,38,8,1,29,1,31,8,W,95,100,93.5483871
99,2016020906,8475831,15,3495,0,0,0,25,21,2,0,19,0,21,4,L,84,50,90.47619048
100,2016020906,8477424,18,3600,0,0,0,26,24,1,1,22,1,24,1,W,92.30769231,100,91.66666667
101,2017021087,8471418,6,3415,0,0,0,28,25,1,4,20,4,22,2,L,89.28571429,50,90.90909091
102,2017021087,8473503,13,3600,0,0,0,46,46,7,0,39,0,39,7,W,100,100,100
103,2016020885,8476945,52,3749,0,0,0,37,32,2,2,28,2,31,4,L,86.48648649,50,90.32258065
104,2016020885,8475883,10,3732,0,0,0,20,16,3,0,13,0,16,4,W,80,75,81.25
105,2016020560,8477237,9,3504,0,0,0,28,26,2,1,23,1,25,2,L,92.85714286,100,92
106,2016020560,8474651,15,3599,0,0,0,24,23,1,0,22,0,23,1,W,95.83333333,100,95.65217391
107,2016020986,8473607,4,3500,0,0,0,32,29,0,1,28,1,29,2,L,90.625,0,96.55172414
108,2016020986,8475883,10,3600,0,0,0,38,36,5,0,31,0,32,6,W,94.73684211,83.33333333,96.875
109,2015020906,8471227,30,3532,0,0,0,31,28,1,2,25,2,27,2,L,90.32258065,50,92.59259259
110,2015020906,8473607,4,3600,0,0,0,26,24,4,0,20,0,21,5,W,92.30769231,80,95.23809524
111,2017020625,8471734,26,3473,0,0,0,41,37,4,0,33,0,37,4,L,90.24390244,100,89.18918919
112,2017020625,8469608,20,3594,0,0,0,31,28,2,0,26,0,29,2,W,90.32258065,100,89.65517241
113,2015020646,8468685,3,3513,0,0,0,31,29,2,0,27,0,28,3,L,93.5483871,66.66666667,96.42857143
114,2015020646,8470860,2,3600,0,0,0,35,34,11,0,23,0,24,11,W,97.14285714,100,95.83333333
115,2016020119,8470140,25,3600,0,0,0,15,11,1,0,10,1,12,2,L,73.33333333,50,83.33333333
116,2016020119,8471227,30,3600,0,0,0,29,29,4,0,25,0,25,4,W,100,100,100
117,2016020070,8475663,12,3597,0,0,0,27,21,6,1,14,1,19,7,L,77.77777778,85.71428571,73.68421053
118,2016020070,8473461,4,3566,0,0,0,30,27,2,0,25,0,27,3,W,90,66.66666667,92.59259259
119,2016020348,8470860,2,3600,0,0,0,38,38,6,1,31,1,31,6,W,100,100,100
120,2016020348,8474651,15,3417,0,0,0,28,25,2,3,20,3,23,2,L,89.28571429,100,86.95652174
121,2016021004,8475883,10,3733,0,0,0,38,36,3,0,33,0,34,4,W,94.73684211,75,97.05882353
122,2016021004,8470320,12,3733,0,0,2,26,23,4,0,19,0,22,4,L,88.46153846,100,86.36363636
123,2015020540,8475717,21,3599,0,0,0,38,35,4,1,30,1,33,4,W,92.10526316,100,90.90909091
124,2015020540,8474889,28,3510,0,0,0,25,20,7,0,13,0,14,11,L,80,63.63636364,92.85714286
125,2016020674,8471695,6,3880,0,0,0,25,20,3,0,17,0,22,3,L,80,100,77.27272727
126,2016020674,8475852,17,3370,0,0,0,25,23,1,0,22,0,23,2,W,92,50,95.65217391
127,2016020674,8477225,17,530,0,0,0,8,5,2,0,3,1,4,3,,62.5,66.66666667,75
128,2017020138,8474889,28,3466,0,0,0,33,31,5,1,25,2,26,5,L,93.93939394,100,96.15384615
129,2017020138,8471418,6,3600,0,0,0,37,36,9,0,27,0,27,10,W,97.2972973,90,100
130,2016020602,8475852,17,2400,0,0,0,20,17,0,1,16,1,19,0,L,85,NA,84.21052632
131,2016020602,8477225,17,1200,0,0,0,15,12,4,0,8,0,11,4,,80,100,72.72727273
132,2016020602,8474889,28,3600,0,0,0,35,32,3,0,29,0,32,3,W,91.42857143,100,90.625
133,2017020020,8473434,7,1861,0,0,0,16,15,3,1,11,1,12,3,,93.75,100,91.66666667
134,2017020020,8475215,7,1620,0,0,0,16,12,0,1,11,3,13,0,L,75,NA,84.61538462
135,2017020020,8470860,2,3600,0,0,0,29,26,9,3,14,5,15,9,W,89.65517241,100,93.33333333
136,2015020227,8471306,2,3600,0,0,0,36,34,4,0,30,0,32,4,W,94.44444444,100,93.75
137,2015020227,8474889,28,210,0,0,0,3,1,0,0,1,0,3,0,,33.33333333,NA,33.33333333
138,2015020227,8471774,28,3307,0,0,0,21,20,2,2,16,2,17,2,L,95.23809524,100,94.11764706
139,2015020453,8471239,1,3600,0,0,0,25,25,3,0,22,0,22,3,W,100,100,100
140,2015020453,8476999,7,3458,0,0,0,21,19,0,0,19,0,21,0,L,90.47619048,NA,90.47619048
141,2017021170,8475831,15,3574,0,0,0,30,28,4,0,24,0,26,4,W,93.33333333,100,92.30769231
142,2017021170,8471715,3,2922,0,0,0,27,26,6,0,20,1,20,6,,96.2962963,100,100
143,2017021170,8480382,3,534,0,0,0,6,3,0,1,2,1,4,1,L,50,0,50
144,2017021025,8470140,25,3545,0,0,0,33,32,12,0,20,0,21,12,L,96.96969697,100,95.23809524
145,2017021025,8471469,18,3600,0,0,0,26,26,5,2,19,2,19,5,W,100,100,100
146,2016020531,8469514,26,3528,0,0,0,20,18,7,1,10,1,11,8,L,90,87.5,90.90909091
147,2016020531,8468011,23,3600,0,0,0,37,36,4,0,32,0,33,4,W,97.2972973,100,96.96969697
148,2017020540,8471774,30,3439,0,0,0,33,30,5,3,22,3,25,5,L,90.90909091,100,88
149,2017020540,8473503,13,3600,0,0,0,31,29,5,3,21,3,22,6,W,93.5483871,83.33333333,95.45454545
150,2016020438,8466141,13,2883,0,0,0,17,12,0,2,10,2,15,0,L,70.58823529,NA,66.66666667
151,2016020438,8473503,13,694,0,0,0,5,5,1,0,4,0,4,1,,100,100,100
152,2016020438,8471227,30,3600,0,0,0,30,29,6,0,23,0,24,6,W,96.66666667,100,95.83333333
153,2016020435,8474889,28,3900,0,0,0,31,29,3,2,24,2,25,4,W,93.5483871,75,96
154,2016020435,8475883,10,3900,0,0,0,42,40,14,2,24,2,25,15,L,95.23809524,93.33333333,96
155,2015021111,8475660,22,3600,0,0,0,26,23,3,1,19,1,20,5,W,88.46153846,60,95
156,2015021111,8473503,28,3549,0,0,0,21,16,0,0,16,0,21,0,L,76.19047619,NA,76.19047619
157,2016020099,8475839,53,3600,0,0,0,32,28,11,0,17,0,19,13,W,87.5,84.61538462,89.47368421
158,2016020099,8473461,4,3516,0,0,0,25,20,3,4,13,5,17,3,L,80,100,76.47058824
159,2016020283,8474596,19,3600,0,0,0,41,39,7,3,29,4,29,8,W,95.12195122,87.5,100
160,2016020283,8471695,6,3538,0,0,0,27,24,2,0,22,0,25,2,L,88.88888889,100,88
161,2017020699,8471750,25,3871,0,0,0,26,25,2,1,22,1,23,2,L,96.15384615,100,95.65217391
162,2017020699,8476914,29,3900,0,0,0,36,35,5,2,28,2,29,5,W,97.22222222,100,96.55172414
163,2015020239,8471715,52,3525,0,0,0,32,28,5,1,22,1,24,7,L,87.5,71.42857143,91.66666667
164,2015020239,8470140,25,3598,1,0,0,38,35,9,0,26,0,29,9,W,92.10526316,100,89.65517241
165,2017020506,8471469,18,3591,0,0,0,32,32,9,0,23,0,23,9,W,100,100,100
166,2017020506,8469608,20,3431,0,0,0,28,26,4,0,22,0,24,4,L,92.85714286,100,91.66666667
167,2017021194,8474889,28,3484,0,0,0,31,27,5,2,20,2,24,5,L,87.09677419,100,83.33333333
168,2017021194,8477424,18,3595,0,0,0,42,39,19,1,19,1,22,19,W,92.85714286,100,86.36363636
169,2017020342,8467950,9,3494,0,0,0,31,27,1,1,25,1,29,1,L,87.09677419,100,86.20689655
170,2017020342,8475683,29,3600,0,0,0,26,24,5,1,18,1,20,5,W,92.30769231,100,90
171,2017021257,8468685,3,3600,0,0,0,40,35,2,1,32,1,36,3,L,87.5,66.66666667,88.88888889
172,2017021257,8470880,4,3567,0,0,0,17,17,1,0,16,0,16,1,W,100,100,100
173,2015020007,8473461,4,3710,0,0,0,32,29,4,1,24,1,26,5,L,90.625,80,92.30769231
174,2015020007,8471750,14,3698,0,0,0,25,23,4,2,17,2,18,5,W,92,80,94.44444444
175,2015020693,8474593,23,3600,0,0,0,30,28,0,0,28,0,30,0,W,93.33333333,NA,93.33333333
176,2015020693,8471695,6,3497,0,0,0,26,23,0,0,23,0,26,0,L,88.46153846,NA,88.46153846
177,2016020368,8470147,29,3900,0,0,0,34,32,2,0,30,0,31,3,W,94.11764706,66.66666667,96.77419355
178,2016020368,8469608,53,3900,0,0,2,60,58,9,0,49,0,51,9,L,96.66666667,100,96.07843137
179,2017021255,8475622,19,3600,0,0,0,20,19,2,0,17,0,18,2,W,95,100,94.44444444
180,2017021255,8475234,16,3496,0,0,0,34,31,4,0,27,0,30,4,L,91.17647059,100,90
181,2015020061,8471403,20,3553,0,0,0,29,27,3,0,24,0,26,3,L,93.10344828,100,92.30769231
182,2015020061,8471715,52,3600,0,0,0,20,19,2,0,17,0,18,2,W,95,100,94.44444444
183,2015020871,8475215,7,3600,0,0,4,38,38,4,2,32,2,32,4,W,100,100,100
184,2015020871,8476914,29,3090,0,0,0,31,27,4,0,23,1,25,5,L,87.09677419,80,92
185,2015020871,8470147,29,510,0,0,0,4,4,3,0,1,0,1,3,,100,100,100
186,2015021099,8477202,9,3490,0,0,0,23,20,2,0,18,0,21,2,L,86.95652174,100,85.71428571
187,2015021099,8475234,2,3600,0,0,0,23,22,0,2,20,2,21,0,W,95.65217391,NA,95.23809524
188,2015020971,8471469,18,3587,0,0,0,36,34,4,1,29,1,31,4,W,94.44444444,100,93.5483871
189,2015020971,8475717,21,3523,0,0,0,38,35,11,3,21,3,24,11,L,92.10526316,100,87.5
190,2017021010,8475234,16,1640,0,0,0,10,8,0,0,8,0,10,0,,80,NA,80
191,2017021010,8476341,16,1823,0,0,0,21,17,0,1,16,1,19,1,L,80.95238095,0,84.21052632
192,2017021010,8476434,24,3589,0,0,0,40,37,3,2,32,2,35,3,W,92.5,100,91.42857143
193,2017020853,8476899,5,3597,0,0,0,34,33,6,0,27,0,28,6,W,97.05882353,100,96.42857143
194,2017020853,8474596,19,3577,0,0,0,22,19,1,3,15,3,18,1,L,86.36363636,100,83.33333333
195,2016020887,8476316,22,3497,0,0,0,27,24,1,0,23,0,26,1,L,88.88888889,100,88.46153846
196,2016020887,8471750,14,3600,0,0,0,21,20,3,0,17,0,18,3,W,95.23809524,100,94.44444444
197,2015020165,8476883,14,3600,0,0,0,35,32,1,0,31,0,33,2,W,91.42857143,50,93.93939394
198,2015020165,8470320,12,3443,0,0,0,31,27,6,1,20,1,23,7,L,87.09677419,85.71428571,86.95652174
199,2017020696,8471418,6,3599,0,0,0,24,22,3,0,19,0,21,3,W,91.66666667,100,90.47619048
200,2017020696,8470860,2,3531,0,0,0,33,29,0,2,27,2,30,1,L,87.87878788,0,90
201,2016020759,8471679,8,3514,0,0,0,23,21,5,0,16,0,17,6,L,91.30434783,83.33333333,94.11764706
202,2016020759,8473607,4,3575,0,0,0,16,15,0,0,15,0,16,0,W,93.75,NA,93.75
203,2017020164,8476899,5,3554,0,0,0,29,27,5,0,22,0,24,5,L,93.10344828,100,91.66666667
204,2017020164,8471227,30,3600,0,0,0,30,29,3,0,26,0,26,4,W,96.66666667,75,100
205,2016020889,8470645,16,3600,0,0,0,32,29,3,0,26,0,27,5,W,90.625,60,96.2962963
206,2016020889,8471227,30,3517,0,0,0,38,34,5,0,29,0,33,5,L,89.47368421,100,87.87878788
207,2017020059,8468685,3,3507,0,0,0,42,40,1,5,34,5,36,1,L,95.23809524,100,94.44444444
208,2017020059,8475683,29,3596,0,0,0,38,37,10,2,25,2,26,10,W,97.36842105,100,96.15384615
209,2015020528,8473541,10,3585,0,0,0,26,25,1,1,23,1,24,1,W,96.15384615,100,95.83333333
