"game_id","player_id","team_id","timeOnIce","assists","goals","shots","hits","powerPlayGoals","powerPlayAssists","penaltyMinutes","faceOffWins","faceoffTaken","takeaways","giveaways","shortHandedGoals","shortHandedAssists","blocked","plusMinus","evenTimeOnIce","shortHandedTimeOnIce","powerPlayTimeOnIce"
"2015020314","8471262","21",1167,1,1,4,0,1,0,0,4,8,1,1,0,0,2,2,947,96,124
"2015020314","8477492","21",1222,0,0,4,0,0,0,2,8,16,1,0,0,0,0,0,957,58,207
"2015020314","8473618","52",1046,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2,888,0,158
"2015020314","8471218","52",1164,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,921,97,146
"2015020314","8470614","52",978,0,0,0,1,0,0,0,0,0,0,1,0,0,1,-1,785,193,0
"2015020314","8470834","52",1563,0,0,1,2,0,0,2,0,0,1,2,0,0,2,-2,1315,90,158
"2015020314","8470828","52",1048,0,1,1,0,0,0,4,0,0,0,0,0,0,1,1,966,0,82
"2015020314","8477429","52",485,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,472,13,0
"2015020314","8473412","52",1260,0,0,4,2,0,0,0,12,22,0,1,0,0,1,0,954,160,146
"2015020314","8471217","52",1229,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,948,135,146
"2015020314","8475788","52",846,0,0,0,0,0,0,0,5,9,0,1,0,0,1,0,763,72,11
"2015020314","8471226","52",1092,0,0,4,3,0,0,0,1,1,1,0,0,0,0,-2,935,74,83
"2015020314","8474574","52",1217,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1096,39,82
"2015020314","8476885","52",1349,0,0,0,0,0,0,0,0,0,1,0,0,0,2,-3,1178,171,0
"2015020314","8477940","52",752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,669,0,83
"2015020314","8476460","52",1028,0,0,1,1,0,0,0,5,8,1,1,0,0,1,-3,942,3,83
